REGION,IS_AlemAgro?,APPLICANT_NAME,Сумма Субсудии,YEAR
Павлодарская область,Other,КХ Замандас,36719089,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АСАР""""""",36711139.62,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"МАРИЯ СЕЛА КОРНЕЕВКА""""""",36687234.54,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""АГРО-ТОРО""",36562399.01,2021
Костанайская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Новотроицк-1""",36488705,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""АФ Новомарковка - 2010""",36455804,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""ПСХ""",36430016.15,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Пушкинское""",36381038.07,2021
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Московский""",36371561,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Астық сату Компаниясы""",36359345,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АЛТЫН АСТЫК 2050""""""",36236401.05,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Амангельды-Агро""",36230824,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"УЯЛЫ-АСТЫК""""""",36225880.269999996,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""АгроКолос - 2017""",36181727,2022
Костанайская область,Other,"кх ""Анна""",36141511.599999994,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"СИМАРГЛ""""""",36118521.27,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Лидер СКТ""",36078871.72,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Караман - К""",36043638.83,2020
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Саумалкөл Агро""",35906123,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""СХП ""Байдалы-2""",35893102.03,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Головкин и К""",35844018,2022
Костанайская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"БАТАЛИНСКОЕ""""""",35762625.24,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Дружба""",35745275.81,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""СХП ""Байдалы-2""",35711571.81,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АГРОХИМСНАБ""""""",35636257.47,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Нежинка-Ерке""",35512916,2022
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ВИКТОРОВСКОЕ""""""",35385681.3,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Halyk Grain""",35332572,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ТАМАНСКОЕ""""""",35261585.870000005,2020
Акмолинская область,Other,"""""""КАНАЙ БИ-1"""" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ""",35188696.78,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ЖЕТІСУ-ЖЕР""""""",35176866.83,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Намыс""",35153801.69,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Запорожье-Агро""",35128622,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""S AGRO ВВЕДЕНКА""",34990332,2022
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗЭКСПОРТ БИДАЙ""",34955330.94,2020
Павлодарская область,Other,"Товарищество с ограниченной ответственностью ""КазПромАгро""",34903218,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"НТС-АГРО""""""",34825776.410000004,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"КУАНЫШБЕК И К""""""",34792449.61,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Д.Турлыханов и К""",34769104.27,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Карасор Group""",34766880,2022
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАЙМАС""",34654872.88,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""ЫРЫС""",34494876.57000001,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"КАРАТОМАР""""""",34446050.96,2020
Восточно-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Нивы Чапаево""",34413797,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Амангельды - Есиль""",34413204,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Адани-Агро""",34370795.41,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Белое-Агро""",34344371,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Достық Дән""",34305509,2022
Восточно-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ДОСТЫҚ-АГРОИНВЕСТ""""""",34251422.15,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Жаркуль""",34195490.919999994,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""ЕНБЕК""",34071538,2022
Костанайская область,Other,"КХ ""Абиль"", ИП Аманов Аскар Абильевич",34019275,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Димитров Хлеб""",33931073,2022
Карагандинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АГРОСИНТЕЗ-XXI""""""",33866413.92,2020
Костанайская область,Other,"к/х ""Талах В.В.""",33824858.1,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""АССО""",33789583.23,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Пушкинское""",33784156,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Поляна""",33782411,2022
Северо-Казахстанская область,Other,"""""""КРАХМАЛ-АГРО"""" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ""",33780639.16,2020
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Жетісу-Жер""",33657510.6,2021
Костанайская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АБАЙ-АГРО 2017""""""",33623872.26,2020
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОНОМ-ТАЙЫНША""",33598085.63,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ДИМИТРОВ ХЛЕБ""""""",33585125,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Жокей Агро""",33530854.39,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""СИМАРГЛ""",33496048,2022
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""ЖНВ""",33411931,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Александровское""",33328303.18,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Приречное ЛА""",33194304,2022
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Есиль""",33123780,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Фирма ""ALUA""",33083165,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""АҚ Ниет""",33040960.349999994,2021
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖАРЫК-2005""",33023254.27,2020
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Акселеу""",33017887.66,2021
Северо-Казахстанская область,AlemAgro,"Коммандитное товарищество ""Мамбетов и компания""",32972273.549999997,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Соколовское-Агро""",32857198.02,2021
Северо-Казахстанская область,Other,"Фермерское хозяйство ""БЕКЕТ"" Шапенов Марат Мухамедьярович",32853484.29,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Тогызбай-Агро""",32808965.72,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Астық-Привольный""",32798162,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Ғайса""",32760181,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Темте""",32751626.05,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Астраханское""",32641507,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""ТРОЯНА""",32620779,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АЛЕКСАНДРОВСКОЕ""""""",32593628.21,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Токуши Grain""",32446387,2022
Костанайская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ВОСТОК-1""""""",32428320.43,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""СП ГАРШИНО""",32417995.34,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Тюркин и Со""",32181037,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Черкасское Агро""",32090950,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Тогас и К""",32085955,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Фирма М.А.К.""",32061979.380000003,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""ЖНВ""",31984118.18,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Табыс Агро""",31964513,2022
Павлодарская область,Other,"ФХ ""ЗАМАНДАС""",31934700,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""ЖНВ""",31771803,2022
Восточно-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Средигорненский""",31758368.990000002,2021
Северо-Казахстанская область,Other,КХ Алуа,31746937,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ГОРОДЕЦКОЕ""""""",31640812.73,2020
Восточно-Казахстанская область,Other,"К/Х ""СЕМЕНА МАСЛИЧНЫХ""",31577243.719999995,2021
Павлодарская область,Other,"Товарищество с ограниченной ответственностью ""ГАЛИЦКОЕ""",31392072.25,2021
Костанайская область,Other,"к/х ""Талах В.В.""",31364084.98,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Хазари""",31358240,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Крымское""",31351523.259999998,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Гермес Агро""",31302520,2022
Восточно-Казахстанская область,Other,"КРЕСТЬЯНСКОЕ ХОЗЯЙСТВО ""ЛАД""",31289073.91,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Щучинский гормолзавод""",31165220.39,2021
Павлодарская область,Other,"Товарищество с ограниченной ответственностью ""КазПромАгро""",31098560.659999996,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Целинное Агро""",30973098.21,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"КАНТЕМИР-АГРО""""""",30935882.61,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Класс Агро""",30763896.9,2021
Северо-Казахстанская область,Other,"К/Х  "" ASA""",30675756,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Жокей Агро""",30621009,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Соколовское-Агро""",30610834.359999996,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Тней-Агро""",30603101.42,2021
Восточно-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Труд-13""",30586371.77,2021
Костанайская область,Other,"""""""ТЕМТЕ"""" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ""",30479094.889999997,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""СЕНИМ ЖЕР""",30400121.8,2021
Восточно-Казахстанская область,Other,"""КРЕСТЬЯНСКОЕ ХОЗЯЙСТВО """"ЛАД""""""",30350440.8,2020
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАН""",30308369.77,2020
Акмолинская область,AlemAgro,"Производственный кооператив ""Ижевский""",30267800,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Фирма Викаген""",30258256.810000002,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Бирлик-астык""",30155745,2022
Восточно-Казахстанская область,AlemAgro,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИВЫ ЧАПАЕВО""",30097895.17,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Салют""",30067786.830000006,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ПУШКИНСКОЕ""""""",30032500,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Соколовское-Агро""",30008434,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агро LAKE""",29949462,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Мирас Жер""",29871915,2022
Павлодарская область,Other,"КХ ""Токтушаков""",29781689.53,2021
Костанайская область,Other,"крестьянское хозяйство ""Оджахвердиев Мухтар Мамед-оглы""",29738266.44,2020
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Алекри-Агро""",29588984.83,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Акмола-Феникс Плюс""",29558293,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Дальнее""",29551409,2022
Восточно-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Опытное хозяйство масличных культур""",29528065,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""СТАН""",29445959.520000003,2021
Павлодарская область,Other,"Товарищество с ограниченной ответственностью ""ВЕЛЕС-Павлодар""",29321029,2022
Северо-Казахстанская область,Other,"КХ ""Анар""",29316778,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Сандыктау - Агро""",29238648,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностю ""Ғасыр-Астық""",29218168.64,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностю ""Ғасыр-Астық""",29157316.61,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Eltai Agro""",29148110,2022
Восточно-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Санур-Агро""",29084397,2022
Костанайская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"КЛЮЧЕВОЕ""""""",29018052.25,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""РУСТИКУС""",29002486.14,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Есиль-Агро""",28960154,2022
Северо-Казахстанская область,Other,Фермерское хозяйство Нур,28920791.35,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Маякское""",28891435,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агротрейд Кызылжар""",28778089,2022
Акмолинская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Шанырак Р""",28754410,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Краснополянское""",28707515,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Нұр-Агро 2050""",28632383.64,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью """"КИЙМА-АГРО""""",28632109,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Лавровское""",28629662.809999995,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Егін жай Зерно""",28553306.279999997,2021
Акмолинская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТНЕЙ-АГРО""",28447826.27,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Раскуль""",28420741,2022
Павлодарская область,Other,"Товарищество с ограниченной ответственностью ""КХ Tawa agro""",28337483,2022
Павлодарская область,Other,"""КХ """"НИВА""""""",28336796.580000002,2020
Акмолинская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКМОЛА-ФЕНИКС ПЛЮС""",28277870.900000002,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Амангельды-Агро""",28197043.78,2021
Северо-Казахстанская область,Other,"КХ ""Абюров А.Е.""",28181963,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Полтавка-2""",28179460,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Айдала""",28017009.41,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""ҚосЕл Агро""",27995527.840000004,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Приречное ЛА""",27977684.4,2020
Восточно-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Достық-АгроИнвест""",27965193.15,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Озерки""",27958680,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Кайнар-Агро-11""",27854641,2022
Павлодарская область,Other,КХ Енбек,27839936.41,2020
Восточно-Казахстанская область,Other,"К/Х ""СЕМЕНА МАСЛИЧНЫХ""",27757899,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""ЫРЫС""",27735010.66,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Камагро""",27722223.63,2021
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """" АГРОСТИЛЬ- Г""""""",27637553.05,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""ТНС-Агро""",27629380.950000003,2020
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Алекри-Агро""",27436484,2022
Павлодарская область,Other,"КХ ""Нива""",27389120,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Колос"" - фирма",27376517,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ""""СЕНІМ""""""",27353211.91,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Фирма М.А.К.""",27349116,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Таймас""",27171284.91,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агротрейд Кокше""",26980499,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Зерен Бидай Групп""",26932883.31,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Сенім""",26918240.52,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Бастау Агро С""",26720154,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ӘЛТИ-ГАРАНТ""""""",26659148.64,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""САМАРСКИЙ 1""",26654907.85,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""LAMERC AGRO""",26625383,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Янтарь-98""",26623668,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""СТЮ-Агро""",26620349.26,2020
Северо-Казахстанская область,Other,Товарищество с ограниченной ответственностью «GRAIN RICH»,26607014,2022
Павлодарская область,Other,"Товарищество с ограниченной ответственностью ""Агро-Даму""",26523759,2022
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"US AGRO""""""",26505735.189999998,2020
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЫЗЫЛЖАР МТС АГРО""",26502393.33,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Сару Агро""",26441354,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Манас""",26409133.45,2021
Восточно-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Нивы Чапаево""",26407752.599999998,2021
Павлодарская область,Other,ФХ Байкал,26382248.51,2021
Восточно-Казахстанская область,Other,"К/Х ""СЕМЕНА МАСЛИЧНЫХ""",26226527.310000002,2020
Акмолинская область,AlemAgro,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"КАЗГЕР""""""",26089848.650000002,2020
Актюбинская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Ақжар Агро""",26072583,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Сулу""",26040499,2022
Северо-Казахстанская область,Other,Фермерское хозяйство Нур,26025357.71,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Поиск""",26020848.37,2021
Костанайская область,Other,"к/х ""Магнат""",26007845,2022
Костанайская область,Other,"к/х ""Талах В.В.""",25995273,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""S AGRO KZ""",25964219,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""ҚосЕл Агро""",25897816,2022
Северо-Казахстанская область,Other,"КХ ""Буланбай""",25882617.89,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""СТЮ-Агро""",25783569.09,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АМИК-ТНК""""""",25780703.42,2020
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Есиль""",25734374,2020
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""ПОЛЯКОВСКОЕ""",25685260,2022
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"НИВА""""""",25672553.16,2020
Северо-Казахстанская область,Other,МАКЖАНОВА АСЕМ БАХЫТОВНА,25528917.86,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""БАРЫС-2011""",25463651.59,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Молодое-АГРО""",25412305,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""СХП Новобратское""",25395370.77,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Колос"" - фирма",25367806.169999998,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""КАРАЖАР-2015""",25335563.639999997,2021
Павлодарская область,Other,ФХ Байкал,25313930,2022
Восточно-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИВЫ ЧАПАЕВО""",25284023.849999998,2020
Костанайская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАСКУЛЬ""",25281161.02,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ЧЕРКАС А.Л.""""""",25225584.410000004,2020
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Шатило и К""",25216964,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Ғайса""",25126803.610000003,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Оптимум-Петро""",25070919.130000003,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью """"КИЙМА-АГРО""""",25064727.869999997,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Unite-Инвест """,25049496.150000002,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АМАНГЕЛЬДЫ - ЕСИЛЬ""""""",24942419.689999998,2020
Костанайская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ВЕГА-СПЕКТР""""""",24926072.37,2020
Павлодарская область,Other,"Товарищество с ограниченной ответственностью ""Агро Ондрыс""",24870924.81,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ДАЛЬНЕЕ""""""",24842148.61,2020
Северо-Казахстанская область,Other,"К/Х  "" ASA""",24825803.779999997,2021
Костанайская область,Other,КХ Хамит Магаз Магзумулы,24729054.040000003,2021
Костанайская область,Other,"КХ""Ахметова Р.Ю.""",24630304.740000002,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Алтын мұра""",24627490,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрохимснаб""",24611309,2022
Северо-Казахстанская область,AlemAgro,"Товарищество с ограниченной ответственностью ""ЕВРОТРЕЙД КАЗАХСТАН""",24577972.380000003,2021
Костанайская область,Other,"КХ ""Абиль"", ИП Аманов Аскар Абильевич",24563814.5,2021
